CENTRE_NAME,LATITUDE,LONGITUDE,ADDRESS,URLLINK
Marpole-Oakridge,49.2144740996897,-123.127481913823,990 W 59th Av,http://vancouver.ca/parks/cc/marpole/index.htm
Mount Pleasant,49.2643146495987,-123.100221039816,1 Kingsway,http://vancouver.ca/parks/cc/mtpleasant/index.htm
Renfrew Park,49.2524249068635,-123.042958058734,2929 E 22nd Av,http://vancouver.ca/parks/cc/renfrew/index.htm
Riley Park,49.2416922650002,-123.104291617649,50 E 30th Av,http://vancouver.ca/parks/cc/riley/index.htm
Strathcona,49.279779792626,-123.091546208357,601 Keefer St,http://vancouver.ca/parks/cc/strathcona/index.htm
Sunset,49.22286659427,-123.100610434694,6810 Main St,http://vancouver.ca/parks/cc/sunset/index.htm
Thunderbird,49.2636078361355,-123.032103721071,2311 Cassiar St,http://vancouver.ca/parks/cc/thunderbird/index.htm
Trout Lake,49.2556195524677,-123.062159065575,3350 Victoria Drive,http://vancouver.ca/parks/cc/troutlake/index.htm
West End,49.289912961681,-123.136073777706,870 Denman St,http://vancouver.ca/parks/cc/westend/index.htm
West Point Grey,49.2717971603864,-123.204533477913,4397 W 2nd Av,http://vancouver.ca/parks/cc/westptgrey/index.htm
False Creek,49.269397070325,-123.134020271425,1318 Cartwright St,http://vancouver.ca/parks/cc/falsecreek/index.htm
Champlain Heights,49.2144480624969,-123.032066348148,3350 Maquinna Drive,http://vancouver.ca/parks/cc/champla/index.htm
Ray-Cam Co-Operative Center,49.2807361611339,-123.084089333259,920 E Hastings St,http://vancouver.ca/parks/cc/raycam/index.htm
Britannia,49.2756486033504,-123.073771672447,1661 Napier St,http://vancouver.ca/parks/cc/britannia/index.htm
Carnegie Centre,49.2810519846146,-123.100127212685,401 Main St,http://vancouver.ca/commsvcs/CARNEGIECENTRE/index.htm
Roundhouse,49.2733083633066,-123.121747155605,181 Roundhouse Mews,http://vancouver.ca/parks/cc/roundhouse/index.htm
Coal Harbour,49.2901651976341,-123.125885091572,480 Broughton St,http://vancouver.ca/parks/cc/westend/index.htm
Douglas Park,49.2529172469768,-123.121277422182,801 W 22nd Av,http://vancouver.ca/parks/cc/douglas/index.htm
Dunbar,49.2428154263277,-123.188251960704,4747 Dunbar St,http://vancouver.ca/parks/cc/dunbar/index.htm
Hastings,49.2852019351408,-123.039016310039,3096 E Hastings St,http://vancouver.ca/parks/cc/hastings/index.htm
Kensington,49.2384815559383,-123.075480182997,5175 Dumfries St,http://vancouver.ca/parks/cc/kensington/index.htm
Kerrisdale,49.2331853554205,-123.157092907213,5851 West Boulevard,http://vancouver.ca/parks/cc/kerrisdale/index.htm
Killarney,49.2274099228807,-123.04439061748,6260 Killarney St,http://vancouver.ca/parks/cc/killarney/index.htm
Kitsilano War Memorial,49.2620553391672,-123.160105613733,2690 Larch St,http://vancouver.ca/parks/cc/kitsilano/index.htm
Creekside,49.271787,-123.105586,1 Athletes Way,http://vancouver.ca/parks/cc/creekside/index.htm
