ParkID,Name,Official,StreetNumber,StreetName,EWStreet,NSStreet,GoogleMapDest,Hectare,NeighbourhoodName,NeighbourhoodURL,Advisories,Facilities,SpecialFeatures,Washrooms
1,Arbutus Village Park,1,4202,Valley Drive,King Edward Avenue,Valley Drive,"49.249783,-123.155250",1.41,Arbutus Ridge,http://vancouver.ca/community_profiles/arbutus_ridge/index.htm,N,Y,N,N
2,Carnarvon Park,1,2995,W 19th Avenue,W 19th Avenue,Mackenzie Street,"49.256555,-123.171406",3.79,Arbutus Ridge,http://vancouver.ca/community_profiles/arbutus_ridge/index.htm,N,Y,N,Y
3,Prince of Wales Park,1,4780,Haggart Street,W 32nd Avenue,Haggart Street,"49.244397,-123.156429",2.89,Arbutus Ridge,http://vancouver.ca/community_profiles/arbutus_ridge/index.htm,N,Y,N,N
4,Park Site on Puget Drive,0,4309,Puget Drive,Puget Drive,MacDonald Street,"49.247723,-123.168194",0.09,Arbutus Ridge,http://vancouver.ca/community_profiles/arbutus_ridge/index.htm,N,N,N,N
5,Park Site on Quesnel Drive,0,4301,Quesnel Drive,Quesnel Drive,MacKenzie Street,"49.247623,-123.169948",0.03,Arbutus Ridge,http://vancouver.ca/community_profiles/arbutus_ridge/index.htm,N,N,N,N
6,Quilchena Park,1,4590,Magnolia Street,W 33rd Avenue,Magnolia Street,"49.243690,-123.148865",7.67,Arbutus Ridge,http://vancouver.ca/community_profiles/arbutus_ridge/index.htm,N,Y,Y,Y
7,Ravine Park,1,2159,W 36th Avenue,W 36th Avenue,Arbutus Street,"49.240902,-123.155935",0.72,Arbutus Ridge,http://vancouver.ca/community_profiles/arbutus_ridge/index.htm,N,N,N,N
8,Trafalgar Park,1,2610,W 23rd Avenue,W 23rd Avenue,Valley Drive,"49.25046,-123.161879",4.85,Arbutus Ridge,http://vancouver.ca/community_profiles/arbutus_ridge/index.htm,N,Y,N,Y
9,Park Site on Trafalgar Street,0,4600,Trafalgar Street,W 31st Avenue,Trafalgar Street,"49.244396,-123.165105",0.14,Arbutus Ridge,http://vancouver.ca/community_profiles/arbutus_ridge/index.htm,N,N,N,N
10,Andy Livingstone Park,1,89,Expo Boulevard,Expo Boulevard,Carrall Street,"49.278923,-123.105500",4.21,Downtown,http://vancouver.ca/community_profiles/downtown/index.htm,N,Y,N,Y
11,Cardero Park,1,1601,Bayshore Drive,Bayshore Drive,Cardero Street,"49.292211,-123.128206",0.33,West End,http://vancouver.ca/community_profiles/west_end/index.htm,N,N,Y,N
12,Cathedral Square,1,566,Richards Street,Dunsmuir Street,Richards Street,"49.282084,-123.113877",0.27,Downtown,http://vancouver.ca/community_profiles/downtown/index.htm,N,N,N,N
13,Coal Harbour Park,1,480,Broughton Street,W Hastings Street,Broughton Street,"49.289981,-123.125015",0.95,Downtown,http://vancouver.ca/community_profiles/downtown/index.htm,N,Y,N,N
14,Coopers' Park,1,1020,Marinaside Crescent,Nelson Street,Marinaside Crescent,"49.273253,-123.113900",1.71,Downtown,http://vancouver.ca/community_profiles/downtown/index.htm,N,Y,Y,N
15,Creekside Park,1,1455,Quebec Street,Terminal Avenue,Quebec Street,"49.274415,-123.102924",2.53,Downtown,http://vancouver.ca/community_profiles/downtown/index.htm,N,Y,Y,N
16,David Lam Park,1,1300,Pacific Boulevard,Drake Street,Pacific Boulevard,"49.272569,-123.124145",4.34,Downtown,http://vancouver.ca/community_profiles/downtown/index.htm,N,Y,Y,Y
18,Devonian Harbour Park,1,1929,W Georgia Street,W Georgia Street,Denman Street,"49.294353,-123.134654",4.42,Downtown,http://vancouver.ca/community_profiles/downtown/index.htm,N,Y,Y,N
19,Discovery Square,1,625,Burrard Street,Melville Street,Burrard Street,"49.285911,-123.120948",0.1,Downtown,http://vancouver.ca/community_profiles/downtown/index.htm,N,N,N,N
