ParkID,FacilityCount,FacilityType,FacilityURL
1,1,Playgrounds,
2,1,Field Houses,
2,1,Playgrounds,
2,2,Softball,
2,3,Baseball Diamonds,
2,1,Football Fields,
2,1,Soccer Fields,
3,1,Soccer Fields,
3,1,Jogging Trails,
6,2,Baseball Diamonds,
6,1,Field Houses,
6,1,Playgrounds,
6,2,Soccer Fields,
6,1,Dogs Off-Leash Areas,
6,1,Disc Golf Courses,
6,1,Jogging Trails,
6,1,Skateboard Parks,
8,1,Baseball Diamonds,
8,1,Cricket Pitches,
8,1,Field Houses,
8,1,Playgrounds,
8,2,Soccer Fields,
8,2,Softball,
8,1,Ultimate Fields,
10,1,Field Houses,
10,2,Field Hockey,
10,3,Playgrounds,
10,1,Softball,
10,1,Football Fields,
10,1,Lighted Fields,
10,2,Soccer Fields,
10,2,Tennis Courts,
10,1,Basketball Courts,
10,1,Skateboard Parks,
10,2,Ultimate Fields,
13,1,Community Halls,
14,1,Skateboard Parks,
14,1,Playgrounds,
14,1,Basketball Courts,
14,1,Dogs Off-Leash Areas,
15,1,Playgrounds,
16,1,Playgrounds,
16,1,Soccer Fields,
16,2,Basketball Courts,
16,2,Tennis Courts,
18,1,Dogs Off-Leash Areas,
20,1,Dogs Off-Leash Areas,
20,1,Playgrounds,
21,1,Water/Spray Parks,
21,1,Restaurants,
28,1,Field Houses,
28,2,Playgrounds,
28,1,Water/Spray Parks,
28,1,Dogs Off-Leash Areas,
29,1,Community Centres,
34,1,Playgrounds,
34,1,Softball,
34,1,Wading Pool,
34,1,Lighted Fields,
34,1,Rugby Fields,
34,1,Running Tracks,
34,1,Dogs Off-Leash Areas,
34,1,Ultimate Fields,
37,1,Field Houses,
37,2,Soccer Fields,
37,2,Baseball Diamonds,
37,1,Playgrounds,
37,1,Water/Spray Parks,
39,2,Baseball Diamonds,
39,1,Bowling Greens,
39,1,Community Centres,
39,1,Field Houses,
39,1,Playgrounds,
39,1,Soccer Fields,
39,6,Tennis Courts,
39,1,Basketball Courts,
40,2,Soccer Fields,
40,1,Dogs Off-Leash Areas,
42,1,Dogs Off-Leash Areas,
43,1,Soccer Fields,
43,5,Tennis Courts,
43,2,Playgrounds,
43,1,Dogs Off-Leash Areas,
