ParkID,Location,Notes,SummerHours,WinterHours
2,"West side, field house",,Dawn to Dusk,Dawn to Dusk
6,"North east corner, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
8,"North side, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
10,"South side, fieldhouse",,12:00 pm - 4:00 pm,12:00 pm - 4:00 pm
16,West side,,10:00 am - Dusk,10:00 am - Dusk
21,Central,,8:00 am - Dusk,10:00 am - Dusk
28,South side at fieldhouse,,7:00 am - Dusk,7:00 am - Dusk
34,"Central, field house",Caretaker on site,Dawn to Dusk,Dawn to Dusk
37,East side fieldhouse,Caretaker on site,Dawn to Dusk,Dawn to Dusk
39,"Central, field house",Caretaker on site,Dawn to Dusk,Dawn to Dusk
44,"Central, field house",Caretaker on site,Dawn to Dusk,Dawn to Dusk
51,"North east corner, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
52,South side,,Dawn to Dusk,Dawn to Dusk
57,"South side, fieldhouse",,9:00 am - 7:00 pm,Closed
62,West side,,Dawn to Dusk,Dawn to Dusk
64,"Central, field house",Caretaker on site,Dawn to Dusk,Dawn to Dusk
65,"East side, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
67,Fieldhouse,Caretaker on site,Dawn to Dusk,Dawn to Dusk
70,"North east corner, fieldhouse",,Dawn to Dusk,Dawn to Dusk
73,"Central, field house",Caretaker on site,Dawn to Dusk,Closed
75,South side of pool building,Caretaker on site,Dawn to Dusk,Dawn to Dusk
75,"North east corner, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
76,"South side, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
76,Pitch & Putt (north side),,Dawn to Dusk,Dawn to Dusk
77,"North west corner, fieldhouse",,Dawn to Dusk,Dawn to Dusk
79,North east corner fieldhouse,Caretaker on site,Dawn to Dusk,Closed
84,Centre west by parking lot,,During playground program hours,Closed
85,At Trout Lake,Sometimes open later in the summer,6:00 am - 8:30 pm,6:00 am - 8:30 pm
86,"North west corner, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
91,"Central, field house",,Dawn to Dusk,Dawn to Dusk
92,West corner,April 1 to October 31,Dawn to Dusk,Closed
96,"Central, field house",Caretaker on site,Dawn to Dusk,Dawn to Dusk
101,Fraserview Golf hole 13 @ Kerr Street,,6:00 am - 9:00 pm,7:00 am - Dusk
102,Kerr Road @13th hole,,Dawn to Dusk,Dawn to Dusk
110,"West, caretaker house (actually in Kits)",Caretaker on site,Dawn to Dusk,Dawn to Dusk
112,Kitsilano Showboat concession,Caretaker on site,Dawn to Dusk,Closed
112,Lifeguard station,,Dawn to Dusk,Dawn to Dusk
114,"Central, field house",Caretaker on site,Dawn to Dusk,Dawn to Dusk
119,"South, field house",Caretaker on site,Dawn to Dusk,Dawn to Dusk
120,Burrard Civic Marina,Sometimes later in summer,Dawn to Dusk,Dawn to Dusk
126,East side field house,,Dawn to Dusk,Dawn to Dusk
131,Fieldhouse,Caretaker on site,Dawn to Dusk,Dawn to Dusk
137,"North side, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
140,,Caretaker on site,Dawn to Dusk,Dawn to Dusk
143,,,Dawn to Dusk Weekends only,Dawn to Dusk Weekends only
146,North east corner,Caretaker on site,Dawn to Dusk,Dawn to Dusk
148,"East side, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
151,"South corner, fieldhouse",,Dawn to Dusk,Dawn to Dusk
153,Community Hall,Women's is closed Mon - Fri during school days,Dawn to Dusk,Dawn to Dusk
157,"West side, field house",Caretaker on site,Dawn to Dusk,Dawn to Dusk
161,North side,,Dawn to Dusk,Dawn to Dusk
166,"Sout east corner, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
167,Fieldhouse,Caretaker on site,Dawn to Dusk,Dawn to Dusk
167,Lookout,,7:30 am - 9:00 pm,7:30 am - 9:00 pm
167,"Under ""Seasons""",,7:30 am - 9:00 pm,7:30 am - 9:00 pm
173,At front entrance,,Hours of operation only,Hours of operation only
173,Floral hall,,Hours of operation only,Hours of operation only
174,"East edge, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
179,"North west corner, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
180,North east corner,Family washroom available,Tue - Sat 9:00 am - 8:00 pm,Tue - Sat 9:00 am - 5:00 pm
181,"South side, fieldhouse",,Dawn to Dusk,Dawn to Dusk
186,Oval,Caretaker on site,Dawn to 11:15 pm,Dawn to 11:15 pm
187,South west corner at Community Hall,,Dawn to Dusk,Dawn to Dusk
188,"South west corner, fieldhouse",,Dawn to Dusk,Dawn to Dusk
191,"North side, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
194,East side,,Dawn to Dusk,Dawn to Dusk
